UTC,Open,High,Low,Close,Volume
23.11.2025 00:00:00 UTC,180.034,180.324,180.014,180.303,6965.22
24.11.2025 00:00:00 UTC,180.302,181.266,180.27,180.76,155664.26
25.11.2025 00:00:00 UTC,180.756,180.854,180.094,180.639,212770.37
26.11.2025 00:00:00 UTC,180.638,181.461,180.345,181.24,195668.78
27.11.2025 00:00:00 UTC,181.239,181.34,180.753,181.289,109463.93
28.11.2025 00:00:00 UTC,181.29,181.515,180.523,181.072,504191.15
30.11.2025 00:00:00 UTC,180.891,181.159,180.849,180.866,8882.24
01.12.2025 00:00:00 UTC,180.867,180.993,180.135,180.553,227879.15
02.12.2025 00:00:00 UTC,180.552,181.357,180.469,181.127,176408.4
03.12.2025 00:00:00 UTC,181.128,181.458,180.796,180.96,179480.7
04.12.2025 00:00:00 UTC,180.961,181.288,180.395,180.627,196810.53
05.12.2025 00:00:00 UTC,180.625,180.923,180.092,180.83,183402.21
07.12.2025 00:00:00 UTC,180.508,180.87,180.504,180.792,9490.63
08.12.2025 00:00:00 UTC,180.793,181.509,180.493,181.414,182913.19
09.12.2025 00:00:00 UTC,181.414,182.642,181.347,182.329,186204.98
10.12.2025 00:00:00 UTC,182.33,182.616,182.005,182.248,205865.42
11.12.2025 00:00:00 UTC,182.248,182.746,181.876,182.576,214030.8
12.12.2025 00:00:00 UTC,182.576,183.156,182.549,182.912,194042.72
14.12.2025 00:00:00 UTC,182.857,182.969,182.784,182.939,3625.21
15.12.2025 00:00:00 UTC,182.941,183.002,181.835,182.219,185521.06
16.12.2025 00:00:00 UTC,182.221,182.47,181.711,181.844,249005
17.12.2025 00:00:00 UTC,181.842,182.874,181.567,182.568,207130.89
18.12.2025 00:00:00 UTC,182.57,183.169,182.197,182.409,202044.6
19.12.2025 00:00:00 UTC,182.415,184.748,182.404,184.67,222295.89
21.12.2025 00:00:00 UTC,184.726,184.726,184.34,184.57,15967.71
22.12.2025 00:00:00 UTC,184.57,184.919,184.235,184.544,186108.29
23.12.2025 00:00:00 UTC,184.543,184.559,183.435,184.132,195692.27
24.12.2025 00:00:00 UTC,184.134,184.214,183.286,183.546,169941.78
25.12.2025 00:00:00 UTC,183.554,183.97,183.199,183.951,17228.14
26.12.2025 00:00:00 UTC,183.952,184.433,183.822,184.222,164597.29
28.12.2025 00:00:00 UTC,184.235,184.349,184.179,184.271,8352.45
29.12.2025 00:00:00 UTC,184.273,184.415,183.469,183.674,203506.67
30.12.2025 00:00:00 UTC,183.676,184.09,183.416,183.714,156767.4
31.12.2025 00:00:00 UTC,183.71,184.244,183.536,184.017,144949
01.01.2026 00:00:00 UTC,184.079,184.272,184.025,184.16,5728.79
02.01.2026 00:00:00 UTC,184.161,184.427,183.713,183.767,159736.2
04.01.2026 00:00:00 UTC,183.642,183.828,183.495,183.769,10451.44
05.01.2026 00:00:00 UTC,183.77,184.061,182.811,183.464,205228.86
06.01.2026 00:00:00 UTC,183.465,183.646,182.956,183.097,195515.3
07.01.2026 00:00:00 UTC,183.098,183.371,182.707,182.983,163856.73
08.01.2026 00:00:00 UTC,182.985,183.249,182.632,182.883,157215.12
09.01.2026 00:00:00 UTC,182.886,183.952,182.881,183.701,183410.72
11.01.2026 00:00:00 UTC,183.795,183.889,183.716,183.814,4406.42
