UTC,Open,High,Low,Close,Volume
11.01.2026 00:00:00 UTC,158.063,158.181,157.983,158.138,2910.98
12.01.2026 00:00:00 UTC,158.137,158.203,157.515,157.976,137370.28
13.01.2026 00:00:00 UTC,157.977,159.202,157.963,159.196,130707.31
14.01.2026 00:00:00 UTC,159.196,159.452,158.102,158.421,142675.95
15.01.2026 00:00:00 UTC,158.424,158.878,158.226,158.589,112874.81
16.01.2026 00:00:00 UTC,158.591,158.702,157.82,158.137,139364.98
18.01.2026 00:00:00 UTC,157.89,157.971,157.498,157.55,10875.16
19.01.2026 00:00:00 UTC,157.554,158.226,157.42,158.165,91758.09
20.01.2026 00:00:00 UTC,158.164,158.602,157.465,158.152,215222.89
21.01.2026 00:00:00 UTC,158.153,158.533,157.745,158.458,173376.36
22.01.2026 00:00:00 UTC,158.46,158.892,158.178,158.487,139297.17
23.01.2026 00:00:00 UTC,158.488,159.226,155.601,155.611,215312.4
25.01.2026 00:00:00 UTC,154.612,155.275,154.213,155.147,14571.4
26.01.2026 00:00:00 UTC,155.149,155.344,153.305,154.387,244307.81
27.01.2026 00:00:00 UTC,154.386,154.877,152.094,152.495,225247.89
28.01.2026 00:00:00 UTC,152.49,154.047,152.278,153.081,231101.19
29.01.2026 00:00:00 UTC,153.084,153.536,152.682,153.141,197444.66
30.01.2026 00:00:00 UTC,153.142,154.794,153.082,154.756,249783.66
01.02.2026 00:00:00 UTC,154.878,155.514,154.836,155.226,12886.29
02.02.2026 00:00:00 UTC,155.225,155.787,154.548,155.472,215538.4
03.02.2026 00:00:00 UTC,155.472,156.083,155.3,155.804,145090.95
04.02.2026 00:00:00 UTC,155.806,156.946,155.806,156.906,143898.38
05.02.2026 00:00:00 UTC,156.905,157.335,156.528,156.805,159602.12
06.02.2026 00:00:00 UTC,156.804,157.271,156.51,157.196,116071.25
08.02.2026 00:00:00 UTC,157.522,157.66,156.774,157.247,12471.29
09.02.2026 00:00:00 UTC,157.251,157.292,155.522,156.126,173942.86
10.02.2026 00:00:00 UTC,156.127,156.294,154.054,154.5,154461.6
11.02.2026 00:00:00 UTC,154.498,154.651,152.552,153.266,204462.16
12.02.2026 00:00:00 UTC,153.268,153.758,152.268,152.791,211864.56
13.02.2026 00:00:00 UTC,152.788,153.662,152.595,152.625,161809.1
15.02.2026 00:00:00 UTC,152.569,152.859,152.562,152.8,4971.34
16.02.2026 00:00:00 UTC,152.798,153.757,152.767,153.556,75357.23
17.02.2026 00:00:00 UTC,153.55,153.923,152.697,153.13,137344.73
18.02.2026 00:00:00 UTC,153.13,154.869,153.069,154.684,119377.69
19.02.2026 00:00:00 UTC,154.687,155.341,154.542,155.195,135261.38
20.02.2026 00:00:00 UTC,155.196,155.643,154.712,154.988,154999
22.02.2026 00:00:00 UTC,154.849,154.951,154.316,154.341,8441.44
