UTC,Open,High,Low,Close,Volume
01.06.2025 00:00:00 UTC,163.157,163.418,163.117,163.246,11290.27
02.06.2025 00:00:00 UTC,163.252,163.411,162.835,163.117,205455.33
03.06.2025 00:00:00 UTC,163.119,163.871,162.795,163.723,175595.98
04.06.2025 00:00:00 UTC,163.721,164.24,162.896,163.002,193271.42
05.06.2025 00:00:00 UTC,163.002,164.672,162.952,164.417,246668.02
06.06.2025 00:00:00 UTC,164.422,165.282,164.339,165.028,180042.42
08.06.2025 00:00:00 UTC,165.044,165.085,164.903,164.947,7799.95
09.06.2025 00:00:00 UTC,165.041,165.217,164.549,165.181,142806.66
10.06.2025 00:00:00 UTC,165.182,165.811,164.623,165.662,166097.12
11.06.2025 00:00:00 UTC,165.662,166.426,165.38,165.952,180062.73
12.06.2025 00:00:00 UTC,165.952,166.743,165.492,166.114,205692.88
13.06.2025 00:00:00 UTC,166.11,166.592,164.942,166.443,292167.78
15.06.2025 00:00:00 UTC,166.723,166.869,165.883,166.372,17526.16
16.06.2025 00:00:00 UTC,166.798,167.458,166.34,167.162,220418.42
17.06.2025 00:00:00 UTC,167.165,167.612,166.697,166.925,240312.16
18.06.2025 00:00:00 UTC,166.927,167.055,166.319,166.348,228308.28
19.06.2025 00:00:00 UTC,166.347,167.329,166.03,167.185,163090.73
20.06.2025 00:00:00 UTC,167.182,168.4,167.148,168.272,164087.42
22.06.2025 00:00:00 UTC,168.162,168.407,167.964,168.068,19628.19
23.06.2025 00:00:00 UTC,168.134,169.711,168.031,169.235,257080.05
24.06.2025 00:00:00 UTC,169.235,169.237,167.909,168.297,204262.78
25.06.2025 00:00:00 UTC,168.302,169.385,168.159,169.304,161821.48
26.06.2025 00:00:00 UTC,169.304,169.399,168.556,169.17,193969.34
27.06.2025 00:00:00 UTC,169.17,169.809,168.628,169.484,179901.94
29.06.2025 00:00:00 UTC,169.466,169.637,169.225,169.397,14815.96
30.06.2025 00:00:00 UTC,169.451,169.859,168.702,169.492,182465.86
01.07.2025 00:00:00 UTC,169.494,169.656,168.457,169.252,184907.95
02.07.2025 00:00:00 UTC,169.251,169.788,169.037,169.334,173421.62
03.07.2025 00:00:00 UTC,169.334,170.611,169.314,170.306,159494.77
04.07.2025 00:00:00 UTC,170.306,170.396,169.85,170.028,150444.31
06.07.2025 00:00:00 UTC,170.127,170.311,170.02,170.21,7602
07.07.2025 00:00:00 UTC,170.212,171.397,169.882,171.211,177696.39
08.07.2025 00:00:00 UTC,171.213,172.175,171.181,172.175,189167
09.07.2025 00:00:00 UTC,172.176,172.277,171.266,171.496,170043.77
10.07.2025 00:00:00 UTC,171.495,171.778,170.935,171.17,166096.95
11.07.2025 00:00:00 UTC,171.166,172.423,170.805,172.283,181422.89
13.07.2025 00:00:00 UTC,171.655,172.142,171.614,172.077,12588.64
14.07.2025 00:00:00 UTC,172.076,172.473,171.725,172.393,164356.66
15.07.2025 00:00:00 UTC,172.395,173.078,172.254,172.687,180193.97
16.07.2025 00:00:00 UTC,172.688,173.238,171.839,172.208,244275.12
17.07.2025 00:00:00 UTC,172.207,172.672,171.939,172.429,168571.27
18.07.2025 00:00:00 UTC,172.428,173.109,172.349,172.946,140715.25
20.07.2025 00:00:00 UTC,172.015,172.833,171.978,172.645,12385.94
21.07.2025 00:00:00 UTC,172.646,172.66,171.918,172.38,140819.45
22.07.2025 00:00:00 UTC,172.383,172.93,171.365,172.266,158055.98
23.07.2025 00:00:00 UTC,172.267,172.738,171.367,172.296,223203.14
24.07.2025 00:00:00 UTC,172.303,172.92,171.746,172.804,193051.27
25.07.2025 00:00:00 UTC,172.803,173.609,172.475,173.314,175914.34
27.07.2025 00:00:00 UTC,173.664,173.869,173.563,173.724,10194.94
28.07.2025 00:00:00 UTC,173.723,173.9,172.016,172.155,194837.39
29.07.2025 00:00:00 UTC,172.157,172.32,171.048,171.441,192296.84
30.07.2025 00:00:00 UTC,171.441,171.529,170.426,170.55,223543.34
31.07.2025 00:00:00 UTC,170.53,172.334,169.719,172.249,223121.78
01.08.2025 00:00:00 UTC,172.249,172.386,170.28,170.731,274961.2
03.08.2025 00:00:00 UTC,170.56,170.748,170.464,170.566,11784.92
04.08.2025 00:00:00 UTC,170.738,171.161,169.904,170.042,190982.94
05.08.2025 00:00:00 UTC,170.041,170.944,169.817,170.812,173141.5
06.08.2025 00:00:00 UTC,170.81,171.989,170.614,171.684,161990.44
