UTC,Open,High,Low,Close,Volume
22.02.2026 00:00:00 UTC,154.849,154.951,154.316,154.341,8441.44
23.02.2026 00:00:00 UTC,154.342,155.043,153.996,154.66,119592.67
24.02.2026 00:00:00 UTC,154.66,156.281,154.623,155.91,130320.8
25.02.2026 00:00:00 UTC,155.91,156.824,155.344,156.169,120689.17
26.02.2026 00:00:00 UTC,156.168,156.43,155.702,155.857,127926.16
27.02.2026 00:00:00 UTC,155.857,156.231,155.535,156.017,128924.37
01.03.2026 00:00:00 UTC,155.948,156.66,155.948,156.631,12230.31
02.03.2026 00:00:00 UTC,156.633,157.751,156.158,157.268,225399.86
03.03.2026 00:00:00 UTC,157.27,157.969,157.15,157.763,225027.83
04.03.2026 00:00:00 UTC,157.764,157.861,156.855,156.976,169701.28
05.03.2026 00:00:00 UTC,156.977,157.847,156.447,157.566,199887.69
06.03.2026 00:00:00 UTC,157.564,158.088,157.37,157.707,187204.16
08.03.2026 00:00:00 UTC,158.04,158.475,158.04,158.4,24466.37
09.03.2026 00:00:00 UTC,158.399,158.898,157.608,157.875,249787.44
10.03.2026 00:00:00 UTC,157.876,158.184,157.272,158.104,187943.34
11.03.2026 00:00:00 UTC,158.106,159.131,157.86,159.084,150071.66
12.03.2026 00:00:00 UTC,159.085,159.429,158.567,159.24,151800.02
13.03.2026 00:00:00 UTC,159.236,159.749,159.007,159.721,170177.31
15.03.2026 00:00:00 UTC,159.528,159.746,159.498,159.559,9102.99
16.03.2026 00:00:00 UTC,159.56,159.639,158.849,159.132,143565.17
17.03.2026 00:00:00 UTC,159.133,159.494,158.72,158.909,117658.21
18.03.2026 00:00:00 UTC,158.908,159.899,158.566,159.812,165137.11
19.03.2026 00:00:00 UTC,159.816,159.847,157.506,157.93,242539.48
20.03.2026 00:00:00 UTC,157.93,159.386,157.747,159.216,158135.02
22.03.2026 00:00:00 UTC,159.254,159.469,159.065,159.148,11393.59
