UTC,Open,High,Low,Close,Volume
11.01.2026 00:00:00 UTC,183.795,183.889,183.716,183.814,4406.42
12.01.2026 00:00:00 UTC,183.813,184.665,183.747,184.316,172089.16
13.01.2026 00:00:00 UTC,184.315,185.537,184.295,185.336,182722.34
14.01.2026 00:00:00 UTC,185.338,185.569,184.244,184.478,200976.56
15.01.2026 00:00:00 UTC,184.479,184.632,183.86,184.106,176456.81
16.01.2026 00:00:00 UTC,184.105,184.158,183.203,183.318,172828.12
18.01.2026 00:00:00 UTC,182.863,183.203,182.724,183.142,17785.26
19.01.2026 00:00:00 UTC,183.143,184.191,183,184.094,153085.97
20.01.2026 00:00:00 UTC,184.094,185.503,183.767,185.467,256707.66
21.01.2026 00:00:00 UTC,185.468,185.536,184.82,184.966,249614.6
22.01.2026 00:00:00 UTC,184.967,186.33,184.806,186.283,191598.92
23.01.2026 00:00:00 UTC,186.283,186.873,183.783,184.119,257101.58
25.01.2026 00:00:00 UTC,183.534,184.093,183.174,184.006,19325.45
26.01.2026 00:00:00 UTC,184.008,184.083,181.789,183.316,326932.5
27.01.2026 00:00:00 UTC,183.313,183.766,182.099,183.338,353985.9
28.01.2026 00:00:00 UTC,183.338,183.571,182.572,183.404,341484.78
29.01.2026 00:00:00 UTC,183.403,183.74,182.082,183.268,315570.94
30.01.2026 00:00:00 UTC,183.268,184.07,183.039,183.38,381342.3
01.02.2026 00:00:00 UTC,183.525,184.162,183.49,183.879,19303.78
02.02.2026 00:00:00 UTC,183.88,184.276,183.184,183.435,331111.2
03.02.2026 00:00:00 UTC,183.436,184.192,183.429,184.09,249651.06
04.02.2026 00:00:00 UTC,184.094,185.274,184.028,185.168,238436.06
05.02.2026 00:00:00 UTC,185.167,185.506,184.558,184.659,270441.22
06.02.2026 00:00:00 UTC,184.659,185.8,184.355,185.731,206325.81
08.02.2026 00:00:00 UTC,186.033,186.232,185.314,185.98,15556.1
09.02.2026 00:00:00 UTC,185.98,186.01,184.861,185.856,323239.22
10.02.2026 00:00:00 UTC,185.856,185.997,183.446,183.664,230331.45
11.02.2026 00:00:00 UTC,183.663,183.677,181.334,182,292672.3
12.02.2026 00:00:00 UTC,181.999,182.536,180.804,181.346,298998.8
13.02.2026 00:00:00 UTC,181.344,182.278,181.164,181.164,251378.66
15.02.2026 00:00:00 UTC,181.18,181.359,181.111,181.322,6488.71
16.02.2026 00:00:00 UTC,181.322,182.297,181.289,181.969,113958.54
17.02.2026 00:00:00 UTC,181.969,182.003,180.812,181.467,234399.08
18.02.2026 00:00:00 UTC,181.468,182.54,181.41,182.358,185036.92
19.02.2026 00:00:00 UTC,182.359,183.156,182.011,182.649,219189.64
20.02.2026 00:00:00 UTC,182.648,183.094,182.219,182.67,244874.72
22.02.2026 00:00:00 UTC,182.618,182.751,182.558,182.635,11920.61
